C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
35,85.17,42.363,42.035,42.723,42.885,41.811
36,87.69,40.877,40.537,41.232,41.364,40.377
37,90.26,39.446,39.142,39.759,39.914,38.971
38,92.89,38.058,37.726,38.394,38.499,37.614
39,95.57,36.728,36.414,37.063,37.134,36.302
40,98.3,35.447,35.126,35.79,35.83,35.045
41,101.09,34.211,33.872,34.545,34.595,33.832
42,103.92,33.019,32.721,33.36,33.357,32.636
43,106.8,31.886,31.584,32.239,32.23,31.49
44,109.72,30.783,30.501,31.145,31.092,30.395
45,112.69,29.736,29.472,30.105,30.019,29.347
46,115.7,28.737,28.472,29.099,29.029,28.346
47,118.76,27.772,27.515,28.112,28.031,27.429
48,121.85,26.86,26.625,27.193,27.103,26.517
49,124.99,26.002,25.763,26.315,26.223,25.707
50,128.16,25.168,24.934,25.462,25.34,24.938
51,131.37,24.381,24.15,24.64,24.534,24.201
52,134.61,23.623,23.393,23.856,23.749,23.494
53,137.89,22.887,22.674,23.107,22.983,22.786
54,141.19,22.179,21.998,22.387,22.274,22.055
55,144.53,21.493,21.345,21.693,21.589,21.345
56,147.9,20.829,20.71,21.056,20.918,20.633
57,151.3,20.206,20.129,20.438,20.304,19.953
58,154.72,19.595,19.55,19.828,19.695,19.306
59,158.16,19.014,18.997,19.256,19.127,18.676
60,161.63,18.47,18.473,18.718,18.593,18.095
61,165.12,17.944,17.964,18.205,18.056,17.553
62,168.63,17.449,17.458,17.726,17.556,17.056
63,172.16,16.973,16.994,17.229,17.062,16.609
64,175.7,16.533,16.53,16.777,16.614,16.213
65,179.26,16.116,16.091,16.342,16.173,15.86
66,182.83,15.72,15.674,15.92,15.748,15.536
67,186.42,15.345,15.265,15.525,15.357,15.232
68,190.02,14.982,14.872,15.144,14.973,14.94
69,193.62,14.631,14.49,14.777,14.605,14.651
70,197.24,14.291,14.125,14.42,14.248,14.371
71,200.86,13.961,13.767,14.069,13.905,14.105
72,204.49,13.652,13.444,13.745,13.596,13.821
73,208.12,13.332,13.127,13.433,13.252,13.515
74,211.75,13.028,12.821,13.12,12.962,13.209
75,215.38,12.73,12.526,12.807,12.666,12.92
76,219.02,12.439,12.233,12.535,12.364,12.625
77,222.65,12.16,11.968,12.258,12.106,12.309
78,226.27,11.884,11.711,11.998,11.835,11.993
79,229.9,11.63,11.473,11.743,11.58,11.724
80,233.51,11.39,11.239,11.493,11.343,11.485
81,237.12,11.151,11.014,11.258,11.088,11.243
82,240.73,10.921,10.793,11.016,10.865,11.011
83,244.32,10.697,10.577,10.783,10.641,10.789
84,247.9,10.493,10.375,10.587,10.422,10.59
85,251.47,10.294,10.182,10.396,10.225,10.375
86,255.03,10.087,9.99,10.203,10.021,10.134
87,258.57,9.89,9.81,10.007,9.829,9.915
88,262.09,9.711,9.635,9.834,9.647,9.728
89,265.6,9.537,9.459,9.654,9.471,9.564
90,269.09,9.368,9.297,9.473,9.305,9.398
91,272.57,9.2,9.132,9.329,9.132,9.205
92,276.02,9.038,8.973,9.174,8.975,9.03
93,279.45,8.884,8.822,9.016,8.829,8.869
94,282.86,8.739,8.671,8.878,8.672,8.736
95,286.24,8.604,8.532,8.735,8.545,8.604
96,289.61,8.471,8.4,8.594,8.412,8.476
97,292.95,8.338,8.271,8.459,8.279,8.342
98,296.26,8.21,8.144,8.341,8.158,8.198
99,299.54,8.076,8.019,8.218,8.038,8.027
100,302.8,7.945,7.9,8.108,7.927,7.845
101,306.03,7.819,7.79,8.003,7.814,7.668
102,309.23,7.694,7.678,7.901,7.706,7.489
103,312.4,7.571,7.57,7.803,7.595,7.317
104,315.54,7.457,7.464,7.706,7.483,7.173
105,318.65,7.357,7.362,7.608,7.387,7.069
106,321.73,7.264,7.268,7.513,7.291,6.982
107,324.77,7.173,7.172,7.417,7.189,6.914
108,327.79,7.096,7.08,7.329,7.097,6.878
109,330.76,7.025,6.999,7.234,7.01,6.856
110,333.71,6.953,6.913,7.152,6.92,6.829
111,336.61,6.887,6.834,7.074,6.836,6.804
112,339.49,6.823,6.759,6.987,6.76,6.786
113,342.32,6.763,6.682,6.908,6.684,6.78
114,345.12,6.703,6.608,6.833,6.606,6.764
115,347.89,6.639,6.538,6.755,6.537,6.724
116,350.61,6.575,6.468,6.682,6.464,6.686
117,353.3,6.513,6.395,6.618,6.386,6.654
118,355.95,6.459,6.33,6.558,6.335,6.615
119,358.56,6.392,6.261,6.487,6.278,6.541
120,361.13,6.325,6.199,6.425,6.216,6.462
121,363.66,6.261,6.139,6.368,6.153,6.384
122,366.16,6.201,6.081,6.312,6.075,6.337
123,368.61,6.155,6.014,6.256,6.031,6.319
124,371.02,6.109,5.959,6.197,5.968,6.311
125,373.39,6.061,5.905,6.136,5.904,6.299
126,375.72,6.027,5.854,6.081,5.857,6.314
127,378.01,6.006,5.8,6.033,5.804,6.386
128,380.26,5.992,5.743,5.981,5.756,6.489
129,382.47,5.973,5.694,5.927,5.703,6.569
130,384.63,5.942,5.647,5.883,5.646,6.593
131,386.76,5.912,5.6,5.841,5.603,6.602
132,388.84,5.881,5.554,5.789,5.562,6.619
133,390.88,5.853,5.505,5.746,5.524,6.638
134,392.87,5.814,5.462,5.698,5.483,6.614
135,394.83,5.768,5.422,5.66,5.438,6.55
136,396.74,5.709,5.374,5.623,5.394,6.447
137,398.61,5.647,5.331,5.574,5.343,6.341
138,400.43,5.581,5.291,5.523,5.295,6.216
139,402.22,5.518,5.253,5.484,5.25,6.086
140,403.96,5.449,5.214,5.435,5.205,5.94
141,405.66,5.374,5.16,5.384,5.176,5.773
142,407.31,5.293,5.111,5.339,5.127,5.595
143,408.92,5.214,5.068,5.296,5.071,5.422
144,410.49,5.138,5.024,5.256,5.024,5.249
145,412.02,5.063,4.977,5.21,4.978,5.085
146,413.5,4.994,4.934,5.166,4.936,4.94
147,414.94,4.935,4.88,5.118,4.895,4.849
148,416.33,4.892,4.836,5.07,4.852,4.811
149,417.69,4.855,4.786,5.032,4.806,4.794
150,419,4.813,4.731,4.98,4.75,4.79
151,420.26,4.787,4.683,4.927,4.702,4.834
152,421.49,4.776,4.641,4.877,4.658,4.927
153,422.67,4.763,4.594,4.827,4.605,5.025
154,423.8,4.74,4.537,4.776,4.558,5.088
155,424.9,4.7,4.487,4.719,4.505,5.09
156,425.95,4.655,4.435,4.666,4.454,5.066
157,426.96,4.613,4.377,4.615,4.398,5.062
158,427.92,4.568,4.326,4.561,4.341,5.045
159,428.84,4.519,4.274,4.512,4.288,5.004
160,429.72,4.466,4.217,4.463,4.23,4.956
