C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-360,39.27,1.097,0.902,0.942,0.914,1.629
-359,39.31,1.135,0.892,0.932,0.908,1.806
-358,39.43,1.149,0.878,0.914,0.891,1.913
-357,39.63,1.161,0.866,0.898,0.877,2.004
-356,39.9,1.173,0.86,0.871,0.875,2.085
-355,40.26,1.153,0.852,0.841,0.854,2.066
-354,40.69,1.115,0.841,0.824,0.847,1.949
-353,41.2,1.069,0.831,0.809,0.837,1.797
-352,41.79,1.03,0.829,0.788,0.808,1.696
-351,42.45,0.999,0.82,0.767,0.798,1.609
-350,43.2,0.938,0.81,0.748,0.78,1.413
-349,44.02,0.86,0.804,0.732,0.767,1.138
-348,44.91,0.784,0.798,0.712,0.761,0.864
-347,45.89,0.708,0.776,0.697,0.736,0.621
-346,46.93,0.648,0.762,0.689,0.736,0.404
-345,48.06,0.617,0.768,0.688,0.724,0.287
-344,49.26,0.6,0.762,0.679,0.71,0.25
-343,50.53,0.6,0.761,0.664,0.696,0.278
-342,51.87,0.605,0.762,0.653,0.692,0.314
-341,53.29,0.607,0.761,0.641,0.687,0.339
-340,54.78,0.607,0.753,0.626,0.677,0.373
-339,56.34,0.61,0.747,0.606,0.663,0.423
-338,57.97,0.615,0.73,0.587,0.653,0.489
-337,59.67,0.63,0.729,0.579,0.642,0.571
-336,61.44,0.655,0.725,0.573,0.649,0.674
-335,63.28,0.677,0.726,0.564,0.664,0.753
-334,65.18,0.682,0.727,0.562,0.638,0.801
-333,67.15,0.702,0.725,0.558,0.671,0.853
-332,69.19,0.697,0.724,0.548,0.599,0.916
-331,71.29,0.716,0.724,0.544,0.622,0.974
-330,73.45,0.713,0.721,0.539,0.576,1.015
-329,75.67,0.727,0.717,0.533,0.607,1.051
-328,77.96,0.725,0.72,0.528,0.576,1.077
-327,80.31,0.724,0.722,0.528,0.569,1.077
-326,82.71,0.712,0.718,0.523,0.569,1.037
-325,85.17,0.69,0.718,0.505,0.565,0.971
-324,87.69,0.682,0.71,0.488,0.588,0.941
-323,90.26,0.665,0.706,0.474,0.566,0.916
-322,92.89,0.653,0.702,0.484,0.584,0.841
-321,95.57,0.603,0.69,0.457,0.544,0.719
-320,98.3,0.566,0.674,0.448,0.559,0.584
-319,101.09,0.547,0.704,0.461,0.552,0.471
-318,103.92,0.523,0.662,0.511,0.53,0.39
-317,106.8,0.507,0.658,0.49,0.555,0.326
-316,109.72,0.489,0.669,0.462,0.543,0.282
-315,112.69,0.503,0.676,0.507,0.545,0.283
-314,115.7,0.514,0.669,0.522,0.542,0.323
-313,118.76,0.515,0.673,0.478,0.531,0.381
-312,121.85,0.524,0.661,0.488,0.521,0.427
-311,124.99,0.531,0.646,0.518,0.522,0.437
-310,128.16,0.536,0.653,0.501,0.511,0.48
-309,131.37,0.554,0.641,0.488,0.541,0.545
-308,134.61,0.577,0.653,0.501,0.511,0.642
-307,137.89,0.595,0.629,0.511,0.526,0.713
-306,141.19,0.611,0.642,0.493,0.498,0.812
-305,144.53,0.624,0.624,0.483,0.506,0.884
-304,147.9,0.654,0.619,0.5,0.516,0.98
-303,151.3,0.654,0.61,0.496,0.489,1.021
-302,154.72,0.634,0.608,0.495,0.505,0.928
-301,158.16,0.588,0.601,0.498,0.495,0.757
-300,161.63,0.546,0.597,0.504,0.488,0.594
-299,165.12,0.514,0.587,0.493,0.495,0.481
-298,168.63,0.485,0.595,0.485,0.479,0.382
-297,172.16,0.469,0.587,0.488,0.486,0.317
-296,175.7,0.454,0.583,0.485,0.487,0.259
-295,179.26,0.447,0.582,0.479,0.491,0.234
-294,182.83,0.448,0.579,0.482,0.495,0.234
-293,186.42,0.444,0.576,0.49,0.486,0.223
-292,190.02,0.44,0.569,0.486,0.492,0.213
-291,193.62,0.437,0.567,0.482,0.487,0.212
-290,197.24,0.436,0.571,0.478,0.483,0.21
-289,200.86,0.428,0.565,0.47,0.478,0.2
-288,204.49,0.422,0.556,0.469,0.476,0.187
-287,208.12,0.423,0.551,0.472,0.482,0.186
-286,211.75,0.426,0.546,0.473,0.482,0.205
-285,215.38,0.434,0.544,0.466,0.478,0.249
-284,219.02,0.451,0.544,0.469,0.478,0.314
-283,222.65,0.471,0.537,0.473,0.473,0.403
-282,226.27,0.498,0.535,0.462,0.474,0.52
-281,229.9,0.529,0.533,0.458,0.477,0.648
-280,233.51,0.557,0.535,0.46,0.472,0.76
-279,237.12,0.575,0.521,0.457,0.474,0.849
-278,240.73,0.589,0.522,0.457,0.471,0.906
-277,244.32,0.592,0.516,0.456,0.462,0.934
-276,247.9,0.598,0.514,0.455,0.466,0.957
-275,251.47,0.596,0.515,0.451,0.461,0.958
-274,255.03,0.588,0.507,0.447,0.463,0.935
-273,258.57,0.579,0.508,0.442,0.463,0.903
-272,262.09,0.57,0.504,0.438,0.459,0.879
-271,265.6,0.573,0.501,0.437,0.46,0.892
-270,269.09,0.584,0.503,0.435,0.457,0.94
-269,272.57,0.604,0.493,0.435,0.455,1.033
-268,276.02,0.624,0.489,0.433,0.458,1.117
-267,279.45,0.643,0.495,0.431,0.452,1.193
-266,282.86,0.653,0.489,0.43,0.458,1.236
-265,286.24,0.661,0.489,0.427,0.454,1.274
-264,289.61,0.665,0.49,0.425,0.451,1.292
-263,292.95,0.657,0.478,0.419,0.454,1.277
-262,296.26,0.645,0.478,0.418,0.445,1.24
-261,299.54,0.632,0.472,0.415,0.446,1.196
-260,302.8,0.619,0.462,0.415,0.444,1.156
-259,306.03,0.609,0.466,0.415,0.439,1.116
-258,309.23,0.599,0.466,0.423,0.443,1.063
-257,312.4,0.585,0.468,0.429,0.442,1.001
-256,315.54,0.57,0.47,0.423,0.449,0.937
-255,318.65,0.549,0.469,0.413,0.448,0.866
-254,321.73,0.529,0.47,0.407,0.446,0.793
-253,324.77,0.517,0.47,0.41,0.451,0.74
-252,327.79,0.513,0.469,0.415,0.452,0.715
-251,330.76,0.517,0.468,0.416,0.458,0.725
-250,333.71,0.52,0.47,0.42,0.46,0.731
-249,336.61,0.52,0.468,0.419,0.464,0.731
-248,339.49,0.523,0.47,0.419,0.461,0.74
-247,342.32,0.525,0.472,0.422,0.455,0.752
-246,345.12,0.529,0.474,0.424,0.466,0.751
-245,347.89,0.522,0.477,0.428,0.465,0.718
-244,350.61,0.51,0.475,0.427,0.47,0.667
-243,353.3,0.506,0.481,0.425,0.474,0.643
-242,355.95,0.507,0.485,0.425,0.464,0.653
-241,358.56,0.515,0.487,0.426,0.472,0.673
-240,361.13,0.526,0.495,0.433,0.476,0.698
-239,363.66,0.536,0.5,0.448,0.473,0.723
-238,366.16,0.547,0.501,0.453,0.48,0.755
-237,368.61,0.556,0.507,0.453,0.479,0.786
-236,371.02,0.56,0.511,0.451,0.484,0.795
-235,373.39,0.562,0.514,0.463,0.486,0.786
-234,375.72,0.567,0.522,0.473,0.49,0.782
-233,378.01,0.574,0.528,0.476,0.508,0.785
-232,380.26,0.581,0.536,0.478,0.511,0.796
-231,382.47,0.591,0.546,0.489,0.512,0.817
-230,384.63,0.604,0.553,0.501,0.513,0.848
-229,386.76,0.624,0.557,0.509,0.517,0.911
-228,388.84,0.648,0.568,0.507,0.528,0.989
-227,390.88,0.667,0.573,0.519,0.537,1.039
-226,392.87,0.679,0.584,0.524,0.54,1.068
-225,394.83,0.693,0.59,0.537,0.549,1.096
-224,396.74,0.705,0.599,0.545,0.553,1.123
-223,398.61,0.721,0.601,0.543,0.565,1.176
-222,400.43,0.737,0.614,0.549,0.566,1.22
-221,402.22,0.752,0.621,0.55,0.573,1.265
-220,403.96,0.77,0.625,0.562,0.585,1.307
-219,405.66,0.786,0.634,0.574,0.581,1.356
-218,407.31,0.797,0.644,0.574,0.594,1.377
-217,408.92,0.81,0.659,0.585,0.598,1.401
-216,410.49,0.821,0.668,0.589,0.606,1.421
-215,412.02,0.826,0.672,0.594,0.618,1.42
-214,413.5,0.826,0.674,0.599,0.631,1.399
-213,414.94,0.82,0.681,0.611,0.639,1.348
-212,416.33,0.812,0.687,0.622,0.642,1.3
-211,417.69,0.813,0.7,0.627,0.649,1.277
-210,419,0.82,0.709,0.645,0.661,1.266
-209,420.26,0.828,0.721,0.664,0.667,1.259
-208,421.49,0.837,0.736,0.672,0.684,1.254
-207,422.67,0.842,0.74,0.679,0.691,1.257
-206,423.8,0.854,0.744,0.688,0.696,1.287
-205,424.9,0.874,0.756,0.693,0.71,1.335
-204,425.95,0.892,0.771,0.697,0.71,1.389
-203,426.96,0.908,0.778,0.698,0.728,1.43
-202,427.92,0.924,0.789,0.702,0.743,1.464
-201,428.84,0.934,0.795,0.712,0.747,1.482
-200,429.72,0.94,0.809,0.724,0.758,1.471
-199,430.55,0.937,0.823,0.736,0.764,1.424
-198,431.35,0.929,0.836,0.747,0.773,1.361
-197,432.1,0.92,0.842,0.76,0.784,1.294
-196,432.8,0.912,0.851,0.77,0.793,1.234
-195,433.47,0.906,0.865,0.781,0.805,1.174
-194,434.09,0.898,0.877,0.788,0.814,1.116
-193,434.66,0.893,0.885,0.794,0.826,1.069
-192,435.2,0.9,0.899,0.803,0.835,1.061
-191,435.69,0.91,0.913,0.814,0.842,1.07
-190,436.14,0.929,0.923,0.826,0.852,1.114
-189,436.54,0.951,0.934,0.839,0.866,1.166
-188,436.91,0.966,0.938,0.853,0.879,1.194
-187,437.23,0.98,0.949,0.862,0.884,1.223
-186,437.51,1.004,0.958,0.866,0.894,1.299
-185,437.74,1.036,0.971,0.883,0.903,1.386
-184,437.93,1.057,0.988,0.9,0.911,1.432
-183,438.08,1.072,1.003,0.914,0.918,1.453
-182,438.19,1.089,1.011,0.92,0.929,1.497
-181,438.25,1.118,1.027,0.933,0.935,1.576
-180,438.28,1.143,1.035,0.943,0.943,1.65
-179,438.25,1.167,1.049,0.957,0.954,1.709
-178,438.19,1.193,1.061,0.971,0.969,1.77
-177,438.08,1.224,1.08,0.979,0.974,1.862
-176,437.93,1.259,1.101,0.994,0.975,1.964
-175,437.74,1.28,1.111,1.008,0.984,2.015
-174,437.51,1.293,1.123,1.022,0.996,2.032
-173,437.23,1.298,1.133,1.031,1.012,2.017
-172,436.91,1.297,1.144,1.033,1.012,1.999
-171,436.54,1.29,1.166,1.037,1.021,1.938
-170,436.14,1.265,1.178,1.049,1.036,1.799
-169,435.69,1.23,1.197,1.057,1.041,1.624
-168,435.2,1.2,1.22,1.067,1.059,1.455
-167,434.66,1.172,1.229,1.074,1.065,1.321
-166,434.09,1.149,1.241,1.077,1.079,1.2
-165,433.47,1.123,1.254,1.087,1.087,1.066
-164,432.8,1.1,1.263,1.1,1.098,0.941
-163,432.1,1.1,1.279,1.114,1.112,0.895
-162,431.35,1.117,1.3,1.131,1.13,0.907
-161,430.55,1.137,1.31,1.148,1.142,0.949
-160,429.72,1.161,1.319,1.159,1.152,1.014
-159,428.84,1.187,1.319,1.156,1.167,1.107
-158,427.92,1.218,1.332,1.152,1.178,1.209
-157,426.96,1.243,1.346,1.151,1.183,1.293
-156,425.95,1.268,1.348,1.17,1.203,1.353
-155,424.9,1.287,1.359,1.184,1.203,1.401
-154,423.8,1.305,1.359,1.203,1.217,1.441
-153,422.67,1.322,1.361,1.222,1.226,1.479
-152,421.49,1.338,1.379,1.235,1.23,1.507
-151,420.26,1.353,1.379,1.242,1.241,1.55
-150,419,1.375,1.386,1.257,1.258,1.598
-149,417.69,1.401,1.401,1.268,1.27,1.664
-148,416.33,1.422,1.396,1.276,1.279,1.735
-147,414.94,1.448,1.404,1.286,1.293,1.811
-146,413.5,1.476,1.41,1.302,1.302,1.891
-145,412.02,1.504,1.409,1.309,1.309,1.989
-144,410.49,1.539,1.415,1.321,1.328,2.094
-143,408.92,1.572,1.429,1.33,1.344,2.184
-142,407.31,1.592,1.427,1.335,1.358,2.247
-141,405.66,1.609,1.439,1.342,1.371,2.284
-140,403.96,1.625,1.447,1.356,1.386,2.31
-139,402.22,1.634,1.447,1.366,1.398,2.326
-138,400.43,1.641,1.453,1.383,1.409,2.318
-137,398.61,1.64,1.463,1.396,1.417,2.286
-136,396.74,1.636,1.472,1.413,1.428,2.23
-135,394.83,1.622,1.479,1.419,1.442,2.149
-134,392.87,1.607,1.483,1.432,1.454,2.058
-133,390.88,1.592,1.493,1.451,1.464,1.961
-132,388.84,1.578,1.503,1.46,1.477,1.873
-131,386.76,1.566,1.515,1.466,1.493,1.791
-130,384.63,1.558,1.52,1.48,1.502,1.731
-129,382.47,1.551,1.529,1.496,1.507,1.672
-128,380.26,1.562,1.54,1.502,1.527,1.677
-127,378.01,1.575,1.552,1.513,1.535,1.698
-126,375.72,1.583,1.565,1.53,1.557,1.679
-125,373.39,1.584,1.58,1.54,1.572,1.642
-124,371.02,1.584,1.589,1.55,1.581,1.614
-123,368.61,1.592,1.597,1.567,1.591,1.613
-122,366.16,1.596,1.604,1.572,1.604,1.605
-121,363.66,1.596,1.608,1.578,1.615,1.582
-120,361.13,1.594,1.604,1.586,1.621,1.562
-119,358.56,1.633,1.658,1.612,1.64,1.624
-118,355.95,1.664,1.667,1.634,1.651,1.702
-117,353.3,1.694,1.664,1.65,1.668,1.793
-116,350.61,1.725,1.696,1.676,1.711,1.815
-115,347.89,1.728,1.706,1.703,1.69,1.814
-114,345.12,1.77,1.715,1.711,1.758,1.895
-113,342.32,1.791,1.748,1.721,1.758,1.937
-112,339.49,1.804,1.76,1.743,1.787,1.924
-111,336.61,1.83,1.791,1.766,1.818,1.944
-110,333.71,1.848,1.815,1.779,1.84,1.958
-109,330.76,1.876,1.817,1.805,1.856,2.026
-108,327.79,1.898,1.841,1.826,1.878,2.046
-107,324.77,1.915,1.865,1.842,1.9,2.051
-106,321.73,1.936,1.868,1.873,1.926,2.076
-105,318.65,1.971,1.887,1.942,1.956,2.099
-104,315.54,1.977,1.938,1.905,1.983,2.084
-103,312.4,1.999,1.951,2.005,2.016,2.024
-102,309.23,2.014,1.997,2.033,2.043,1.984
-101,306.03,2.036,2.028,2.058,2.072,1.987
-100,302.8,2.061,2.049,2.087,2.102,2.008
-99,299.54,2.092,2.066,2.13,2.122,2.05
-98,296.26,2.113,2.089,2.124,2.153,2.086
-97,292.95,2.148,2.123,2.151,2.197,2.122
-96,289.61,2.185,2.16,2.214,2.197,2.17
-95,286.24,2.221,2.205,2.24,2.243,2.196
-94,282.86,2.252,2.25,2.277,2.297,2.186
-93,279.45,2.266,2.279,2.301,2.322,2.161
-92,276.02,2.294,2.32,2.341,2.389,2.127
-91,272.57,2.316,2.35,2.37,2.399,2.147
-90,269.09,2.36,2.391,2.4,2.451,2.198
-89,265.6,2.415,2.437,2.454,2.496,2.273
-88,262.09,2.471,2.473,2.509,2.524,2.377
-87,258.57,2.542,2.527,2.562,2.583,2.497
-86,255.03,2.602,2.577,2.602,2.624,2.607
-85,251.47,2.652,2.626,2.643,2.673,2.666
-84,247.9,2.697,2.687,2.688,2.727,2.686
-83,244.32,2.728,2.726,2.737,2.774,2.673
-82,240.73,2.767,2.776,2.786,2.836,2.672
-81,237.12,2.814,2.833,2.846,2.888,2.69
-80,233.51,2.861,2.887,2.909,2.941,2.708
-79,229.9,2.924,2.948,2.978,3.019,2.751
-78,226.27,2.985,3.011,3.04,3.078,2.814
-77,222.65,3.054,3.083,3.104,3.152,2.878
-76,219.02,3.12,3.144,3.163,3.227,2.945
-75,215.38,3.177,3.215,3.227,3.278,2.989
-74,211.75,3.248,3.287,3.301,3.362,3.044
-73,208.12,3.324,3.363,3.381,3.431,3.12
-72,204.49,3.406,3.43,3.464,3.518,3.214
-71,200.86,3.506,3.511,3.551,3.615,3.346
-70,197.24,3.612,3.598,3.642,3.686,3.523
-69,193.62,3.723,3.685,3.721,3.781,3.703
-68,190.02,3.829,3.772,3.809,3.87,3.866
-67,186.42,3.936,3.868,3.902,3.964,4.012
-66,182.83,4.047,3.975,4.001,4.078,4.132
-65,179.26,4.162,4.086,4.114,4.182,4.264
-64,175.7,4.282,4.199,4.232,4.305,4.391
-63,172.16,4.405,4.321,4.351,4.426,4.524
-62,168.63,4.522,4.43,4.467,4.534,4.656
-61,165.12,4.646,4.545,4.585,4.65,4.802
-60,161.63,4.786,4.675,4.719,4.772,4.978
-59,158.16,4.943,4.801,4.855,4.921,5.197
-58,154.72,5.093,4.94,5.011,5.073,5.348
-57,151.3,5.229,5.098,5.163,5.228,5.429
-56,147.9,5.364,5.259,5.315,5.378,5.505
-55,144.53,5.507,5.41,5.465,5.536,5.616
-54,141.19,5.675,5.573,5.647,5.709,5.773
-53,137.89,5.855,5.745,5.829,5.895,5.951
-52,134.61,6.042,5.93,6.031,6.083,6.122
-51,131.37,6.245,6.127,6.234,6.293,6.325
-50,128.16,6.45,6.318,6.446,6.492,6.542
-49,124.99,6.661,6.522,6.662,6.71,6.75
-48,121.85,6.884,6.742,6.882,6.93,6.983
-47,118.76,7.117,6.968,7.116,7.156,7.228
-46,115.7,7.369,7.206,7.363,7.408,7.497
-45,112.69,7.645,7.466,7.626,7.67,7.818
-44,109.72,7.934,7.74,7.91,7.936,8.151
-43,106.8,8.227,8.021,8.198,8.206,8.483
-42,103.92,8.499,8.292,8.497,8.49,8.715
-41,101.09,8.77,8.589,8.796,8.79,8.904
-40,98.3,9.067,8.917,9.153,9.123,9.074
-39,95.57,9.394,9.283,9.507,9.49,9.297
-38,92.89,9.714,9.631,9.844,9.829,9.554
-37,90.26,10.035,9.957,10.212,10.164,9.806
-36,87.69,10.408,10.346,10.633,10.583,10.07
-35,85.17,10.799,10.768,11.037,11.003,10.39
-34,82.71,11.192,11.166,11.468,11.41,10.723
-33,80.31,11.635,11.611,11.926,11.892,11.111
-32,77.96,12.102,12.08,12.373,12.349,11.604
-31,75.67,12.556,12.504,12.849,12.784,12.088
-30,73.45,13.072,13.002,13.387,13.31,12.589
-29,71.29,13.626,13.541,13.934,13.862,13.168
-28,69.19,14.154,14.033,14.453,14.373,13.758
-27,67.15,14.74,14.601,15.035,14.961,14.362
-26,65.18,15.327,15.165,15.605,15.522,15.015
-25,63.28,15.915,15.735,16.192,16.099,15.633
-24,61.44,16.559,16.336,16.848,16.738,16.312
-23,59.67,17.222,16.994,17.492,17.385,17.017
-22,57.97,17.88,17.631,18.141,18.046,17.7
-21,56.34,18.546,18.306,18.833,18.691,18.355
-20,54.78,19.245,18.979,19.547,19.417,19.036
-19,53.29,19.945,19.713,20.255,20.114,19.698
-18,51.87,20.672,20.43,21.031,20.869,20.359
-17,50.53,21.432,21.227,21.775,21.637,21.089
-16,49.26,22.13,21.903,22.501,22.352,21.764
-15,48.06,22.93,22.7,23.326,23.202,22.492
-14,46.93,23.711,23.501,24.09,23.95,23.302
-13,45.89,24.533,24.338,24.941,24.776,24.078
-12,44.91,25.387,25.216,25.731,25.625,24.977
-11,44.02,26.248,26.125,26.575,26.451,25.839
-10,43.2,27.166,27.052,27.523,27.319,26.769
-9,42.45,28.198,28.158,28.523,28.292,27.821
-8,41.79,29.258,29.254,29.566,29.293,28.919
-7,41.2,30.444,30.532,30.698,30.386,30.162
-6,40.69,31.701,31.901,31.919,31.55,31.435
-5,40.26,33.122,33.45,33.322,32.876,32.839
-4,39.9,34.731,35.199,34.896,34.378,34.453
-3,39.63,36.497,37.136,36.614,36.005,36.234
-2,39.43,38.409,39.226,38.485,37.78,38.144
-1,39.31,40.464,41.483,40.536,39.688,40.15
0,39.27,42.696,43.927,42.771,41.79,42.295
1,39.31,45.062,46.516,45.113,44.051,44.568
2,39.43,47.484,49.189,47.46,46.384,46.903
3,39.63,49.918,51.937,49.675,48.773,49.288
4,39.9,52.291,54.725,51.467,51.259,51.712
5,40.26,54.579,57.507,52.875,53.791,54.144
6,40.69,56.743,60.232,53.919,56.298,56.524
7,41.2,58.783,62.83,54.657,58.781,58.863
8,41.79,60.654,65.213,55.14,61.189,61.073
9,42.45,62.323,67.353,55.419,63.444,63.075
10,43.2,63.785,69.174,55.601,65.512,64.851
11,44.02,65.007,70.632,55.711,67.337,66.347
12,44.91,65.955,71.697,55.77,68.861,67.49
13,45.89,66.624,72.375,55.805,70.017,68.299
14,46.93,66.995,72.631,55.821,70.829,68.7
15,48.06,67.103,72.544,55.828,71.254,68.786
16,49.26,66.965,72.148,55.829,71.372,68.511
17,50.53,66.587,71.416,55.829,71.136,67.965
18,51.87,65.993,70.497,55.829,70.495,67.152
19,53.29,65.226,69.306,55.829,69.647,66.121
20,54.78,64.297,67.938,55.829,68.478,64.942
21,56.34,63.242,66.39,55.829,67.153,63.594
22,57.97,62.071,64.706,55.829,65.599,62.15
23,59.67,60.823,62.999,55.829,63.961,60.502
24,61.44,59.526,61.19,55.829,62.224,58.862
25,63.28,58.192,59.336,55.827,60.339,57.265
26,65.18,56.873,57.508,55.82,58.542,55.623
27,67.15,55.53,55.655,55.718,56.698,54.049
28,69.19,53.966,53.814,54.77,54.819,52.462
29,71.29,52.212,52.021,52.944,53.012,50.869
30,73.45,50.463,50.223,51.086,51.206,49.338
31,75.67,48.777,48.502,49.349,49.439,47.819
32,77.96,47.113,46.829,47.595,47.758,46.268
33,80.31,45.474,45.154,45.914,46.055,44.774
34,82.71,43.913,43.592,44.348,44.452,43.26
