C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-360,39.27,0.989,0.8,0.897,0.839,1.421
-359,39.31,0.975,0.787,0.88,0.823,1.409
-358,39.43,0.954,0.773,0.867,0.813,1.363
-357,39.63,0.934,0.772,0.861,0.804,1.3
-356,39.9,0.921,0.765,0.859,0.803,1.256
-355,40.26,0.912,0.759,0.854,0.798,1.235
-354,40.69,0.907,0.76,0.845,0.795,1.227
-353,41.2,0.904,0.762,0.841,0.795,1.219
-352,41.79,0.902,0.762,0.84,0.798,1.208
-351,42.45,0.896,0.762,0.839,0.801,1.181
-350,43.2,0.894,0.763,0.834,0.803,1.176
-349,44.02,0.903,0.769,0.828,0.809,1.205
-348,44.91,0.916,0.774,0.83,0.815,1.243
-347,45.89,0.926,0.773,0.826,0.817,1.288
-346,46.93,0.93,0.769,0.821,0.818,1.313
-345,48.06,0.933,0.776,0.816,0.819,1.319
-344,49.26,0.931,0.774,0.815,0.82,1.316
-343,50.53,0.926,0.772,0.81,0.821,1.3
-342,51.87,0.925,0.773,0.807,0.821,1.301
-341,53.29,0.925,0.772,0.806,0.818,1.306
-340,54.78,0.927,0.771,0.802,0.821,1.314
-339,56.34,0.92,0.763,0.8,0.813,1.303
-338,57.97,0.906,0.762,0.797,0.803,1.265
-337,59.67,0.893,0.764,0.793,0.801,1.214
-336,61.44,0.873,0.761,0.79,0.788,1.154
-335,63.28,0.861,0.759,0.788,0.797,1.101
-334,65.18,0.855,0.757,0.787,0.798,1.079
-333,67.15,0.859,0.76,0.788,0.799,1.089
-332,69.19,0.864,0.761,0.788,0.796,1.11
-331,71.29,0.863,0.758,0.784,0.791,1.121
-330,73.45,0.866,0.759,0.793,0.794,1.119
-329,75.67,0.869,0.76,0.789,0.797,1.13
-328,77.96,0.864,0.76,0.766,0.793,1.137
-327,80.31,0.863,0.753,0.756,0.785,1.156
-326,82.71,0.868,0.753,0.76,0.774,1.185
-325,85.17,0.874,0.755,0.747,0.771,1.222
-324,87.69,0.885,0.76,0.748,0.771,1.259
-323,90.26,0.887,0.761,0.738,0.76,1.29
-322,92.89,0.9,0.754,0.735,0.753,1.359
-321,95.57,0.918,0.74,0.74,0.75,1.443
-320,98.3,0.917,0.752,0.742,0.752,1.422
-319,101.09,0.894,0.738,0.741,0.755,1.342
