C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4,,,,,
-360,39.27,1.063,0.932,1.003,0.941,1.377,,,,,
-359,39.31,1.063,0.932,1.005,0.943,1.373,,,,,
-358,39.43,1.065,0.935,1.005,0.943,1.375,,,,,
-357,39.63,1.072,0.938,1.009,0.949,1.392,,,,,
-356,39.9,1.079,0.947,1.009,0.953,1.408,,,,,
-355,40.26,1.082,0.948,1.012,0.955,1.414,,,,,
-354,40.69,1.085,0.951,1.013,0.96,1.416,,,,,
-353,41.2,1.092,0.955,1.016,0.966,1.431,,,,,
-352,41.79,1.095,0.963,1.017,0.973,1.426,,,,,
-351,42.45,1.095,0.961,1.019,0.975,1.426,,,,,
-350,43.2,1.099,0.961,1.018,0.98,1.434,,,,,
-349,44.02,1.098,0.966,1.019,0.986,1.421,,,,,
-348,44.91,1.095,0.971,1.02,0.989,1.402,,,,,
-347,45.89,1.092,0.969,1.019,0.989,1.389,,,,,
-346,46.93,1.089,0.962,1.018,0.993,1.383,,,,,
-345,48.06,1.087,0.966,1.017,0.995,1.372,,,,,
-344,49.26,1.085,0.968,1.015,0.994,1.365,,,,,
-343,50.53,1.08,0.961,1.011,0.995,1.351,,,,,
-342,51.87,1.079,0.962,1.01,0.997,1.347,,,,,
-341,53.29,1.079,0.966,1.007,0.996,1.349,,,,,
-340,54.78,1.081,0.968,1.004,0.997,1.356,,,,,
-339,56.34,1.084,0.966,1.006   1,0.005,1.36,,,,,
-338,57.97,1.085,0.976,1.005   1,0.007,1.354,,,,,
-337,59.67,1.089,0.986,1.007   1,0.011,1.353,,,,,
-336,61.44,1.092,0.986,1.007   1,0.013,1.362,,,,,
-335,63.28,1.098,0.99,1.013   1,0.014,1.374,,,,,
-334,65.18,1.104,0.999,1.017   1,0.02,1.38,,,,,
-333,67.15,1.104,1.004,1.016   1,0.02,1.373,,,,,
-332,69.19,1.103,1.006,1.016   1,0.021,1.369,,,,,
-331,71.29,1.098,1.004,1.019   1,0.02,1.348,,,,,
-330,73.45,1.09,1.008,1.017   1,0.018,1.316,,,,,
-329,75.67,1.078,1.005,1.016   1,0.014,1.278,,,,,
-328,77.96,1.065,0.996,1.014   1,0.012,1.237,,,,,
-327,80.31,1.051,0.994,1.014   1,0.008,1.187,,,,,
-326,82.71,1.033,0.993,1.011   1,0.004,1.124,,,,,
-325,85.17,1.017,0.984,1.012   1,0.002,1.068,,,,,
-324,87.69,1.007,0.979,1.01,0.997,1.042,,,,,
-323,90.26,1.007,0.98,1.007,0.994,1.046,,,,,
-322,92.89,1.009,0.978,1.003,0.993,1.061,,,,,
-321,95.57,1.007,0.969,1.002,0.993,1.066,,,,,
-320,98.3,1.007,0.968,0.999,0.985,1.076,,,,,
-319,101.09,1.008,0.969,0.996,0.982,1.083,,,,,
-318,103.92,1.003,0.964,0.993,0.977,1.079,,,,,
-317,106.8,1.001,0.962,0.99,0.974,1.08,,,,,
-316,109.72,1.003,0.964,0.989,0.97,1.089,,,,,
-315,112.69,0.997,0.958,0.984,0.967,1.076,,,,,
-314,115.7,0.987,0.95,0.983,0.967,1.047,,,,,
-313,118.76,0.985,0.953,0.979,0.96,1.047,,,,,
-312,121.85,0.984,0.949,0.975,0.955,1.056,,,,,
-311,124.99,0.982,0.942,0.972,0.951,1.062,,,,,
-310,128.16,0.979,0.94,0.969,0.948,1.06,,,,,
-309,131.37,0.975,0.935,0.964,0.945,1.058,,,,,
-308,134.61,0.972,0.927,0.96,0.941,1.06,,,,,
-307,137.89,0.975,0.927,0.961,0.94,1.07,,,,,
-306,141.19,0.976,0.927,0.955,0.937,1.086,,,,,
-305,144.53,0.978,0.921,0.952,0.936,1.102,,,,,
-304,147.9,0.979,0.92,0.95,0.937,1.11,,,,,
-303,151.3,0.984,0.925,0.948,0.935,1.126,,,,,
-302,154.72,0.992,0.924,0.949,0.937,1.159,,,,,
-301,158.16,0.995,0.927,0.956,0.939,1.159,,,,,
-300,161.63,1.002,0.934,0.955,0.941,1.179,,,,,
-299,165.12,1.005,0.936,0.958,0.945,1.181,,,,,
-298,168.63,1.004,0.938,0.964,0.947,1.167,,,,,
-297,172.16,1.01,0.944,0.967,0.948,1.181,,,,,
-296,175.7,1.021,0.949,0.968,0.952,1.214,,,,,
-295,179.26,1.02,0.95,0.971,0.953,1.206,,,,,
-294,182.83,1.026,0.956,0.973,0.956,1.219,,,,,
-293,186.42,1.034,0.96,0.979,0.959,1.238,,,,,
-292,190.02,1.035,0.963,0.983,0.962,1.233,,,,,
-291,193.62,1.038,0.965,0.983,0.965,1.24,,,,,
-290,197.24,1.044,0.977,0.989,0.967,1.245,,,,,
-289,200.86,1.048,0.975,0.995,0.973,1.247,,,,,
-288,204.49,1.049,0.977,0.998,0.973,1.25,,,,,
-287,208.12,1.058,0.986,1.002,0.978,1.268,,,,,
-286,211.75,1.062,0.984,1.005,0.983,1.277,,,,,
-285,215.38,1.062,0.986,1.008,0.986,1.268,,,,,
-284,219.02,1.066,0.991,1.013,0.987,1.273,,,,,
-283,222.65,1.071,0.995,1.019,0.995,1.277,,,,,
-282,226.27,1.077,0.993,1.022   1,0.001,1.291,,,,,
-281,229.9,1.081,1,1.026   1,0.003,1.297,,,,,
-280,233.51,1.083,1.004,1.030   1,0.009,1.288,,,,,
-279,237.12,1.082,1.006,1.034   1,0.01,1.277,,,,,
