C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-360.00,39.27,1.02,0.97,1.08,0.99,1.04
-359.00,39.31,1.02,0.97,1.07,0.99,1.03
-358.00,39.43,1.02,0.97,1.08,0.99,1.03
-357.00,39.63,1.01,0.97,1.07,0.99,1.01
-356.00,39.90,1.01,0.96,1.07,0.99,1.00
-355.00,40.26,1.01,0.96,1.07,0.99,1.00
-354.00,40.69,1.00,0.96,1.07,0.99,0.99
-353.00,41.20,1.00,0.96,1.07,0.99,0.98
-352.00,41.79,1.00,0.96,1.07,0.99,0.98
-351.00,42.45,1.00,0.96,1.06,1.00,0.98
-350.00,43.20,1.00,0.95,1.06,0.99,0.98
-349.00,44.02,0.99,0.96,1.05,1.00,0.97
-348.00,44.91,1.00,0.96,1.05,1.00,0.97
-347.00,45.89,1.00,0.96,1.04,1.00,0.98
-346.00,46.93,1.00,0.96,1.04,1.01,0.98
-345.00,48.06,1.00,0.97,1.04,1.01,0.99
-344.00,49.26,1.01,0.97,1.04,1.02,1.00
-343.00,50.53,1.00,0.98,1.04,1.02,0.98
-342.00,51.87,1.01,0.97,1.04,1.03,0.98
-341.00,53.29,1.01,0.98,1.04,1.03,0.99
-340.00,54.78,1.01,0.98,1.03,1.03,0.98
-339.00,56.34,1.01,0.98,1.03,1.04,0.99
-338.00,57.97,1.01,0.98,1.03,1.04,0.99
-337.00,59.67,1.01,0.98,1.02,1.04,0.99
-336.00,61.44,1.01,0.98,1.02,1.04,0.99
-335.00,63.28,1.01,0.99,1.02,1.04,1.00
-334.00,65.18,1.02,0.99,1.02,1.04,1.01
-333.00,67.15,1.01,0.99,1.02,1.04,1.00
-332.00,69.19,1.01,0.99,1.02,1.04,1.00
-331.00,71.29,1.02,0.98,1.02,1.04,1.01
-330.00,73.45,1.01,0.98,1.02,1.04,1.01
-329.00,75.67,1.01,0.98,1.02,1.03,1.01
-328.00,77.96,1.01,0.98,1.02,1.03,1.02
-327.00,80.31,1.01,0.98,1.02,1.03,1.01
-326.00,82.71,1.01,0.98,1.02,1.02,1.01
-325.00,85.17,1.01,0.97,1.02,1.02,1.01
-324.00,87.69,1.01,0.98,1.02,1.02,1.01
-323.00,90.26,1.01,0.97,1.02,1.02,1.01
-322.00,92.89,1.00,0.97,1.02,1.02,1.00
-321.00,95.57,1.00,0.97,1.02,1.02,1.00
-320.00,98.30,1.00,0.97,1.02,1.02,0.99
-319.00,101.09,1.00,0.97,1.02,1.02,0.98
-318.00,103.92,1.00,0.97,1.02,1.02,0.98
-317.00,106.80,1.00,0.97,1.02,1.02,0.98
-316.00,109.72,1.00,0.97,1.02,1.01,1.00
-315.00,112.69,1.00,0.97,1.02,1.01,1.00
-314.00,115.70,1.00,0.97,1.02,1.01,1.01
-313.00,118.76,1.00,0.97,1.02,1.01,1.01
-312.00,121.85,1.01,0.97,1.02,1.01,1.02
-311.00,124.99,1.01,0.97,1.02,1.01,1.02
-310.00,128.16,1.01,0.97,1.03,1.01,1.02
-309.00,131.37,1.00,0.97,1.02,1.01,1.01
-308.00,134.61,1.00,0.98,1.03,1.01,0.99
-307.00,137.89,1.00,0.98,1.03,1.01,0.99
-306.00,141.19,1.00,0.98,1.03,1.01,0.98
-305.00,144.53,1.00,0.98,1.03,1.01,0.98
-304.00,147.90,1.00,0.98,1.03,1.01,0.97
-303.00,151.30,1.00,0.98,1.03,1.01,0.97
