C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-360,39.27,0.901,0.882,0.968,0.882,0.871
-359,39.31,0.894,0.872,0.962,0.878,0.865
-358,39.43,0.897,0.867,0.958,0.878,0.885
-357,39.63,0.901,0.862,0.953,0.88,0.91
-356,39.9,0.898,0.861,0.947,0.876,0.909
-355,40.26,0.888,0.852,0.94,0.872,0.89
-354,40.69,0.878,0.848,0.929,0.868,0.865
-353,41.2,0.874,0.842,0.916,0.863,0.874
-352,41.79,0.878,0.835,0.903,0.863,0.913
-351,42.45,0.873,0.826,0.893,0.857,0.915
-350,43.2,0.858,0.824,0.875,0.852,0.882
-349,44.02,0.835,0.821,0.861,0.847,0.811
-348,44.91,0.804,0.809,0.847,0.843,0.719
-347,45.89,0.783,0.8,0.834,0.837,0.66
-346,46.93,0.772,0.803,0.818,0.827,0.64
-345,48.06,0.767,0.796,0.802,0.821,0.651
-344,49.26,0.763,0.78,0.791,0.808,0.672
-343,50.53,0.761,0.776,0.778,0.803,0.687
-342,51.87,0.766,0.775,0.768,0.798,0.722
-341,53.29,0.776,0.768,0.758,0.792,0.787
-340,54.78,0.787,0.756,0.75,0.786,0.854
-339,56.34,0.798,0.749,0.737,0.778,0.926
-338,57.97,0.804,0.746,0.728,0.771,0.97
-337,59.67,0.798,0.737,0.722,0.761,0.972
-336,61.44,0.784,0.726,0.717,0.753,0.94
-335,63.28,0.771,0.727,0.71,0.748,0.898
-334,65.18,0.758,0.724,0.706,0.743,0.858
-333,67.15,0.746,0.716,0.706,0.734,0.828
-332,69.19,0.731,0.71,0.701,0.72,0.791
-331,71.29,0.71,0.713,0.695,0.694,0.738
-330,73.45,0.696,0.71,0.685,0.687,0.703
-329,75.67,0.69,0.7,0.674,0.708,0.677
-328,77.96,0.684,0.697,0.671,0.702,0.668
-327,80.31,0.69,0.698,0.669,0.698,0.694
-326,82.71,0.697,0.693,0.666,0.68,0.748
-325,85.17,0.703,0.683,0.656,0.674,0.797
-324,87.69,0.71,0.684,0.666,0.672,0.818
-323,90.26,0.704,0.685,0.627,0.67,0.833
-322,92.89,0.698,0.675,0.628,0.661,0.83
-321,95.57,0.69,0.669,0.63,0.652,0.81
-320,98.3,0.686,0.675,0.624,0.653,0.791
-319,101.09,0.679,0.673,0.623,0.656,0.765
-318,103.92,0.667,0.672,0.621,0.646,0.731
-317,106.8,0.655,0.665,0.618,0.64,0.698
-316,109.72,0.661,0.677,0.623,0.64,0.707
-315,112.69,0.655,0.659,0.617,0.641,0.702
-314,115.7,0.632,0.672,0.61,0.631,0.614
-313,118.76,0.622,0.653,0.608,0.613,0.612
-312,121.85,0.636,0.674,0.611,0.607,0.65
-311,124.99,0.631,0.649,0.61,0.609,0.656
-310,128.16,0.628,0.65,0.609,0.61,0.643
-309,131.37,0.627,0.65,0.605,0.615,0.639
-308,134.61,0.634,0.643,0.607,0.609,0.677
-307,137.89,0.628,0.639,0.603,0.599,0.67
-306,141.19,0.617,0.632,0.6,0.594,0.64
-305,144.53,0.625,0.638,0.6,0.592,0.671
-304,147.9,0.656,0.626,0.602,0.588,0.81
-303,151.3,0.667,0.624,0.604,0.59,0.849
-302,154.72,0.662,0.628,0.606,0.59,0.823
-301,158.16,0.68,0.63,0.607,0.597,0.885
-300,161.63,0.684,0.628,0.609,0.601,0.9
-299,165.12,0.665,0.625,0.609,0.602,0.825
-298,168.63,0.648,0.635,0.61,0.602,0.744
-297,172.16,0.643,0.631,0.614,0.598,0.727
-296,175.7,0.637,0.632,0.619,0.605,0.691
-295,179.26,0.635,0.634,0.622,0.608,0.673
-294,182.83,0.631,0.645,0.628,0.611,0.641
-293,186.42,0.634,0.646,0.634,0.615,0.641
-292,190.02,0.652,0.645,0.639,0.624,0.702
-291,193.62,0.667,0.652,0.644,0.633,0.739
-290,197.24,0.666,0.657,0.65,0.636,0.721
-289,200.86,0.666,0.661,0.658,0.64,0.706
-288,204.49,0.675,0.664,0.667,0.649,0.72
-287,208.12,0.686,0.674,0.676,0.657,0.737
