C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-244,350.61,0.912,0.823,0.876,0.832,1.118
-243,353.3,0.924,0.829,0.883,0.839,1.146
-242,355.95,0.932,0.831,0.888,0.84,1.169
-241,358.56,0.945,0.843,0.896,0.848,1.194
-240,361.13,0.951,0.847,0.905,0.853,1.198
-239,363.66,0.954,0.853,0.909,0.865,1.19
-238,366.16,0.954,0.859,0.906,0.867,1.185
-237,368.61,0.96,0.865,0.914,0.876,1.185
-236,371.02,0.961,0.867,0.923,0.882,1.171
-235,373.39,0.966,0.873,0.93,0.89,1.173
-234,375.72,0.976,0.884,0.936,0.895,1.188
-233,378.01,0.988,0.886,0.945,0.902,1.22
-232,380.26,0.999,0.893,0.954,0.908,1.241
-231,382.47,1.009,0.898,0.956,0.915,1.266
-230,384.63,1.02,0.908,0.964,0.92,1.288
-229,386.76,1.028,0.916,0.964,0.926,1.306
-228,388.84,1.027,0.921,0.968,0.935,1.285
-227,390.88,1.026,0.924,0.977,0.933,1.271
-226,392.87,1.03,0.925,0.987,0.939,1.271
-225,394.83,1.038,0.937,0.995,0.942,1.28
-224,396.74,1.052,0.945,1.003,0.954,1.306
-223,398.61,1.066,0.951,1.008,0.959,1.345
-222,400.43,1.073,0.954,1.01,0.962,1.368
-221,402.22,1.083,0.96,1.018,0.966,1.387
-220,403.96,1.093,0.968,1.019,0.973,1.411
-219,405.66,1.097,0.974,1.024,0.983,1.405
-218,407.31,1.098,0.984,1.032,0.989,1.386
-217,408.92,1.104,0.989,1.041,0.992,1.393
-216,410.49,1.116,0.991,1.048,0.996,1.429
-215,412.02,1.133,0.994,1.052,1.007,1.478
-214,413.5,1.15,1.002,1.056,1.013,1.53
-213,414.94,1.168,1.009,1.063,1.02,1.58
-212,416.33,1.18,1.015,1.071,1.023,1.611
-211,417.69,1.186,1.025,1.074,1.029,1.616
-210,419,1.187,1.027,1.08,1.038,1.602
-209,420.26,1.185,1.03,1.084,1.047,1.579
-208,421.49,1.179,1.038,1.088,1.051,1.539
-207,422.67,1.174,1.045,1.091,1.057,1.504
-206,423.8,1.179,1.055,1.097,1.064,1.5
-205,424.9,1.183,1.057,1.1,1.067,1.507
-204,425.95,1.181,1.06,1.107,1.071,1.487
-203,426.96,1.177,1.064,1.114,1.074,1.456
-202,427.92,1.18,1.072,1.118,1.081,1.449
-201,428.84,1.181,1.081,1.12,1.086,1.437
-200,429.72,1.174,1.087,1.125,1.089,1.396
-199,430.55,1.174,1.093,1.13,1.095,1.378
-198,431.35,1.18,1.103,1.138,1.1,1.38
-197,432.1,1.179,1.11,1.144,1.105,1.357
-196,432.8,1.18,1.117,1.152,1.108,1.341
-195,433.47,1.192,1.124,1.159,1.111,1.373
-194,434.09,1.205,1.126,1.16,1.113,1.422
-193,434.66,1.216,1.128,1.173,1.118,1.446
-192,435.2,1.233,1.139,1.175,1.123,1.497
-191,435.69,1.261,1.147,1.181,1.129,1.586
-190,436.14,1.285,1.151,1.189,1.139,1.663
-189,436.54,1.302,1.158,1.196,1.146,1.709
-188,436.91,1.317,1.166,1.206,1.148,1.748
-187,437.23,1.331,1.177,1.213,1.158,1.776
-186,437.51,1.332,1.18,1.221,1.164,1.763
-185,437.74,1.33,1.185,1.226,1.168,1.74
-184,437.93,1.33,1.195,1.233,1.174,1.718
-183,438.08,1.333,1.204,1.239,1.186,1.701
-182,438.19,1.332,1.206,1.243,1.196,1.682
-181,438.25,1.338,1.217,1.252,1.201,1.683
-180,438.28,1.343,1.222,1.255,1.205,1.692
-179,438.25,1.348,1.232,1.257,1.197,1.706
-178,438.19,1.354,1.237,1.261,1.205,1.712
