C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-360,39.27,1.079,0.942,1.026,0.981,1.367
-359,39.31,1.06,0.938,1.015,0.973,1.313
-358,39.43,1.025,0.929,1,0.948,1.223
-357,39.63,0.977,0.916,0.985,0.938,1.068
-356,39.9,0.936,0.911,0.972,0.927,0.933
-355,40.26,0.92,0.9,0.96,0.903,0.917
-354,40.69,0.924,0.888,0.952,0.894,0.964
-353,41.2,0.91,0.869,0.932,0.886,0.952
-352,41.79,0.874,0.856,0.916,0.864,0.86
-351,42.45,0.837,0.842,0.902,0.851,0.752
-350,43.2,0.811,0.827,0.894,0.842,0.679
-349,44.02,0.793,0.822,0.88,0.83,0.64
-348,44.91,0.788,0.814,0.86,0.823,0.657
-347,45.89,0.806,0.804,0.846,0.814,0.76
-346,46.93,0.836,0.8,0.842,0.797,0.905
-345,48.06,0.866,0.788,0.831,0.791,1.056
-344,49.26,0.877,0.782,0.814,0.791,1.124
-343,50.53,0.876,0.783,0.792,0.784,1.145
-342,51.87,0.872,0.767,0.772,0.785,1.164
-341,53.29,0.856,0.744,0.755,0.772,1.153
-340,54.78,0.833,0.738,0.746,0.762,1.087
-339,56.34,0.803,0.731,0.737,0.753,0.993
-338,57.97,0.761,0.722,0.724,0.736,0.862
-337,59.67,0.728,0.723,0.712,0.73,0.748
-336,61.44,0.7,0.712,0.701,0.717,0.669
-335,63.28,0.68,0.706,0.688,0.713,0.613
-334,65.18,0.666,0.7,0.676,0.702,0.587
-333,67.15,0.657,0.695,0.665,0.697,0.57
-332,69.19,0.657,0.691,0.662,0.692,0.583
-331,71.29,0.659,0.689,0.655,0.666,0.627
-330,73.45,0.674,0.684,0.641,0.682,0.688
-329,75.67,0.673,0.674,0.623,0.662,0.734
-328,77.96,0.675,0.663,0.61,0.662,0.765
-327,80.31,0.676,0.658,0.599,0.664,0.783
-326,82.71,0.676,0.647,0.59,0.658,0.807
-325,85.17,0.664,0.64,0.569,0.639,0.808
-324,87.69,0.653,0.628,0.565,0.636,0.783
-323,90.26,0.637,0.616,0.553,0.604,0.775
-322,92.89,0.631,0.611,0.555,0.605,0.752
-321,95.57,0.624,0.597,0.553,0.608,0.737
-320,98.3,0.609,0.597,0.551,0.576,0.711
-319,101.09,0.607,0.624,0.551,0.589,0.664
-318,103.92,0.573,0.586,0.542,0.569,0.595
-317,106.8,0.546,0.615,0.537,0.542,0.489
-316,109.72,0.509,0.551,0.527,0.553,0.403
-315,112.69,0.501,0.583,0.536,0.533,0.351
-314,115.7,0.472,0.587,0.533,0.521,0.248
-313,118.76,0.443,0.565,0.517,0.515,0.174
-312,121.85,0.416,0.548,0.503,0.486,0.128
-311,124.99,0.412,0.526,0.5,0.5,0.12
-310,128.16,0.418,0.544,0.495,0.505,0.128
-309,131.37,0.413,0.538,0.496,0.48,0.139
-308,134.61,0.412,0.527,0.49,0.482,0.151
-307,137.89,0.418,0.527,0.485,0.486,0.173
-306,141.19,0.416,0.524,0.477,0.455,0.208
-305,144.53,0.417,0.504,0.477,0.439,0.248
-304,147.9,0.409,0.48,0.468,0.456,0.235
-303,151.3,0.398,0.491,0.459,0.445,0.199
-302,154.72,0.383,0.486,0.45,0.42,0.175
-301,158.16,0.376,0.469,0.443,0.43,0.161
-300,161.63,0.369,0.459,0.441,0.416,0.16
-299,165.12,0.368,0.459,0.443,0.405,0.165
-298,168.63,0.371,0.453,0.44,0.42,0.172
-297,172.16,0.369,0.441,0.432,0.414,0.19
-296,175.7,0.371,0.437,0.427,0.405,0.214
-295,179.26,0.372,0.427,0.419,0.398,0.244
-294,182.83,0.38,0.42,0.415,0.398,0.287
-293,186.42,0.385,0.422,0.404,0.388,0.328
-292,190.02,0.39,0.417,0.401,0.384,0.36
-291,193.62,0.398,0.404,0.4,0.39,0.396
-290,197.24,0.398,0.394,0.399,0.384,0.413
-289,200.86,0.398,0.392,0.394,0.384,0.424
-288,204.49,0.401,0.389,0.39,0.382,0.443
-287,208.12,0.4,0.387,0.386,0.38,0.449
-286,211.75,0.392,0.387,0.384,0.386,0.41
-285,215.38,0.378,0.389,0.384,0.381,0.357
-284,219.02,0.363,0.375,0.383,0.372,0.32
