C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4,,,,,
-262,296.26,0.53,0.497,0.461,0.436,0.727,,,,,
-261,299.54,0.552,0.509,0.469,0.44,0.79,,,,,
-260,302.8,0.567,0.509,0.475,0.449,0.834,,,,,
-259,306.03,0.587,0.524,0.486,0.46,0.878,,,,,
-258,309.23,0.6,0.533,0.494,0.469,0.906,,,,,
-257,312.4,0.612,0.546,0.5,0.482,0.919,,,,,
-256,315.54,0.616,0.548,0.512,0.489,0.917,,,,,
-255,318.65,0.621,0.556,0.522,0.502,0.903,,,,,
-254,321.73,0.628,0.568,0.529,0.514,0.903,,,,,
-253,324.77,0.631,0.579,0.533,0.518,0.895,,,,,
-252,327.79,0.637,0.595,0.547,0.525,0.88,,,,,
-251,330.76,0.637,0.604,0.56,0.539,0.846,,,,,
-250,333.71,0.623,0.612,0.567,0.543,0.77,,,,,
-249,336.61,0.603,0.616,0.569,0.548,0.681,,,,,
-248,339.49,0.583,0.627,0.579,0.553,0.575,,,,,
-247,342.32,0.563,0.636,0.587,0.57,0.46,,,,,
-246,345.12,0.541,0.648,0.596,0.578,0.341,,,,,
-245,347.89,0.522,0.65,0.602,0.585,0.249,,,,,
-244,350.61,0.519,0.656,0.611,0.599,0.211,,,,,
-243,353.3,0.524,0.66,0.625,0.614,0.195,,,,,
-242,355.95,0.528,0.678,0.632,0.623,0.179,,,,,
-241,358.56,0.531,0.684,0.642,0.626,0.172,,,,,
-240,361.13,0.54,0.692,0.652,0.638,0.177,,,,,
-239,363.66,0.551,0.702,0.653,0.646,0.204,,,,,
-238,366.16,0.568,0.708,0.662,0.655,0.248,,,,,
-237,368.61,0.587,0.712,0.669,0.657,0.31,,,,,
-236,371.02,0.609,0.725,0.676,0.66,0.374,,,,,
-235,373.39,0.635,0.726,0.684,0.674,0.457,,,,,
-234,375.72,0.667,0.736,0.694,0.687,0.553,,,,,
-233,378.01,0.7,0.743,0.704,0.697,0.656,,,,,
-232,380.26,0.734,0.763,0.711,0.702,0.76,,,,,
-231,382.47,0.767,0.772,0.723,0.709,0.865,,,,,
-230,384.63,0.799,0.781,0.731,0.725,0.957,,,,,
-229,386.76,0.821,0.783,0.741,0.738,1.021,,,,,
-228,388.84,0.835,0.791,0.752,0.747,1.048,,,,,
-227,390.88,0.834,0.803,0.754,0.754,1.023,,,,,
-226,392.87,0.828,0.813,0.754,0.761,0.984,,,,,
-225,394.83,0.829,0.819,0.762,0.77,0.964,,,,,
-224,396.74,0.832,0.824,0.771,0.777,0.957,,,,,
-223,398.61,0.841,0.83,0.784,0.785,0.965,,,,,
-222,400.43,0.857,0.844,0.793,0.795,0.997,,,,,
-221,402.22,0.873,0.848,0.803,0.802,1.038,,,,,
-220,403.96,0.889,0.855,0.813,0.812,1.074,,,,,
-219,405.66,0.901,0.862,0.823,0.822,1.095,,,,,
-218,407.31,0.91,0.869,0.832,0.833,1.107,,,,,
-217,408.92,0.915,0.882,0.841,0.838,1.1,,,,,
-216,410.49,0.914,0.892,0.85,0.85,1.064,,,,,
-215,412.02,0.909,0.897,0.859,0.856,1.026,,,,,
-214,413.5,0.905,0.906,0.867,0.864,0.984,,,,,
-213,414.94,0.902,0.913,0.876,0.874,0.944,,,,,
-212,416.33,0.903,0.925,0.885,0.883,0.917,,,,,
-211,417.69,0.907,0.934,0.891,0.885,0.92,,,,,
-210,419,0.92,0.942,0.904,0.896,0.939,,,,,
-209,420.26,0.93,0.95,0.911,0.907,0.952,,,,,
-208,421.49,0.941,0.96,0.923,0.915,0.967,,,,,
-207,422.67,0.958,0.973,0.932,0.922,1.006,,,,,
-206,423.8,0.974,0.977,0.94,0.931,1.049,,,,,
-205,424.9,0.995,0.987,0.951,0.944,1.098,,,,,
-204,425.95,1.013,0.993,0.961,0.95,1.149,,,,,
-203,426.96,1.033,1,0.974,0.956,1.202,,,,,
-202,427.92,1.053,1.012,0.982,0.964,1.253,,,,,
-201,428.84,1.072,1.023,0.989,0.973,1.302,,,,,
-200,429.72,1.086,1.031,1.004,0.978,1.333,,,,,
-199,430.55,1.093,1.036,1.008,0.989,1.34,,,,,
-198,431.35,1.096,1.041,1.012,0.998,1.333,,,,,
-197,432.1,1.103,1.052,1.016,1.01,1.336,,,,,
-196,432.8,1.111,1.062,1.027,1.014,1.341,,,,,
-195,433.47,1.112,1.068,1.035,1.02,1.325,,,,,
-194,434.09,1.107,1.078,1.044,1.029,1.277,,,,,
-193,434.66,1.099,1.079,1.052,1.039,1.228,,,,,
-192,435.2,1.09,1.087,1.058,1.047,1.169,,,,,
-191,435.69,1.077,1.098,1.064,1.055,1.092,,,,,
-190,436.14,1.065,1.108,1.075,1.063,1.014,,,,,
-189,436.54,1.06,1.113,1.086,1.072,0.972,,,,,
-188,436.91,1.062,1.12,1.097,1.076,0.956,,,,,
-187,437.23,1.067,1.129,1.105,1.086,0.949,,,,,
-186,437.51,1.082,1.139,1.114,1.093,0.981,,,,,
-185,437.74,1.107,1.145,1.124,1.098,1.063,,,,,
-184,437.93,1.135,1.152,1.132,1.104,1.153,,,,,
-183,438.08,1.156,1.158,1.14,1.109,1.216,,,,,
-182,438.19,1.179,1.167,1.15,1.119,1.278,,,,,
-181,438.25,1.209,1.178,1.161,1.133,1.365,,,,,
-180,438.28,1.239,1.188,1.171,1.14,1.456,,,,,
-179,438.25,1.263,1.196,1.181,1.142,1.535,,,,,
-178,438.19,1.286,1.203,1.192,1.149,1.602,,,,,
-177,438.08,1.307,1.213,1.195,1.155,1.665,,,,,
-176,437.93,1.322,1.224,1.203,1.159,1.704,,,,,
-175,437.74,1.331,1.237,1.207,1.166,1.715,,,,,
-174,437.51,1.338,1.246,1.217,1.176,1.713,,,,,
-173,437.23,1.341,1.256,1.221,1.182,1.705,,,,,
-172,436.91,1.339,1.26,1.225,1.189,1.679,,,,,
-171,436.54,1.328,1.271,1.225,1.19,1.626,,,,,
-170,436.14,1.316,1.284,1.232,1.196,1.553,,,,,
-169,435.69,1.306,1.292,1.236,1.198,1.497,,,,,
-168,435.2,1.304,1.302,1.248,1.209,1.457,,,,,
-167,434.66,1.3,1.311,1.255,1.225,1.408,,,,,
-166,434.09,1.295,1.321,1.267,1.233,1.36,,,,,
-165,433.47,1.296,1.333,1.275,1.239,1.336,,,,,
-164,432.8,1.301,1.343,1.282,1.248,1.331,,,,,
-163,432.1,1.303,1.357,1.29,1.257,1.307,,,,,
-162,431.35,1.3,1.364,1.294,1.26,1.283,,,,,
-161,430.55,1.299,1.375,1.303,1.261,1.257,,,,,
-160,429.72,1.3,1.383,1.312,1.272,1.231,,,,,
-159,428.84,1.301,1.392,1.327,1.283,1.204,,,,,
-158,427.92,1.302,1.401,1.335,1.294,1.177,,,,,
-157,426.96,1.301,1.409,1.339,1.304,1.152,,,,,
-156,425.95,1.305,1.42,1.352,1.312,1.136,,,,,
-155,424.9,1.314,1.428,1.366,1.321,1.139,,,,,
-154,423.8,1.327,1.436,1.371,1.332,1.167,,,,,
-153,422.67,1.343,1.439,1.374,1.345,1.211,,,,,
-152,421.49,1.364,1.446,1.381,1.353,1.274,,,,,
-151,420.26,1.392,1.453,1.391,1.359,1.366,,,,,
-150,419,1.427,1.461,1.401,1.366,1.479,,,,,
-149,417.69,1.464,1.467,1.409,1.376,1.606,,,,,
-148,416.33,1.502,1.476,1.413,1.384,1.736,,,,,
-147,414.94,1.537,1.486,1.413,1.393,1.858,,,,,
-146,413.5,1.57,1.489,1.419,1.401,1.969,,,,,
-145,412.02,1.598,1.496,1.425,1.408,2.064,,,,,
-144,410.49,1.625,1.501,1.436,1.421,2.144,,,,,
-143,408.92,1.644,1.502,1.441,1.427,2.206,,,,,
-142,407.31,1.657,1.506,1.444,1.435,2.243,,,,,
-141,405.66,1.662,1.509,1.452,1.441,2.248,,,,,
-140,403.96,1.663,1.519,1.461,1.445,2.228,,,,,
-139,402.22,1.659,1.526,1.47,1.458,2.182,,,,,
-138,400.43,1.652,1.533,1.484,1.468,2.124,,,,,
-137,398.61,1.642,1.54,1.488,1.476,2.066,,,,,
-136,396.74,1.631,1.545,1.492,1.486,2.002,,,,,
-135,394.83,1.624,1.553,1.505,1.494,1.943,,,,,
-134,392.87,1.624,1.565,1.521,1.502,1.909,,,,,
-133,390.88,1.634,1.573,1.538,1.522,1.904,,,,,
-132,388.84,1.644,1.583,1.543,1.535,1.914,,,,,
-131,386.76,1.654,1.59,1.551,1.545,1.931,,,,,
-130,384.63,1.668,1.601,1.564,1.553,1.953,,,,,
-129,382.47,1.682,1.615,1.574,1.574,1.962,,,,,
-128,380.26,1.686,1.624,1.581,1.592,1.946,,,,,
-127,378.01,1.683,1.634,1.589,1.599,1.909,,,,,
-126,375.72,1.682,1.645,1.602,1.613,1.867,,,,,
-125,373.39,1.676,1.659,1.611,1.625,1.808,,,,,
-124,371.02,1.669,1.663,1.626,1.636,1.751,,,,,
-123,368.61,1.677,1.674,1.642,1.645,1.747,,,,,
-122,366.16,1.696,1.695,1.657,1.665,1.766,,,,,
